carrossel,tema,slide,tipo,headline,corpo,cta
11,O custo invisivel de nao usar IA agora,1,cover,Nao usar IA tem custo. So que ele nao aparece na planilha.,,
11,O custo invisivel de nao usar IA agora,2,body,O que voce paga sem perceber,"Horas em tarefa operacional. Leads que esfriaram no follow-up manual. Propostas que demoraram e perderam o timing.",
11,O custo invisivel de nao usar IA agora,3,body,O custo de oportunidade,"Cada hora do dono em tarefa que um sistema faria e uma hora a menos em estrategia, venda e relacionamento.",
11,O custo invisivel de nao usar IA agora,4,body,O que o concorrente ja esta fazendo,"Enquanto voce monta proposta manualmente, quem ja automatizou ja enviou, ja fez follow-up e ja esta na reuniao.",
11,O custo invisivel de nao usar IA agora,5,cta,O custo de nao agir e real. So nao tem nota fiscal.,A BKS Grow mapeia onde seu negocio esta sangrando.,Diagnostico gratuito — link na bio
12,Como eu escalo sem contratar,1,cover,Fechei mais eventos esse mes sem aumentar equipe.,Nao e magica. E sistema.,
12,Como eu escalo sem contratar,2,body,O gargalo classico do setor,"Crescer em eventos normalmente significa contratar. Mais contratos, mais pessoas, mais custo fixo, mais risco.",
12,Como eu escalo sem contratar,3,body,O que eu fiz diferente,"Antes de contratar: mapeei o que consome tempo. Automatizei o operacional. So ai avaliei se precisava de gente.",
12,Como eu escalo sem contratar,4,body,O que o sistema faz hoje,"Triagem de lead. Pre-briefing. Proposta draft. Follow-up. Pos-evento. Tudo isso roda sem depender de hora minha.",
12,Como eu escalo sem contratar,5,cta,Escalar nao e sempre contratar.,As vezes e construir o sistema certo antes.,Link na bio
13,A janela de vantagem competitiva esta fechando,1,cover,Tem uma janela aberta agora no setor de eventos.,Ela nao vai ficar aberta para sempre.,
13,A janela de vantagem competitiva esta fechando,2,body,Como funciona toda virada tecnologica,"Os primeiros a adotar colhem vantagem real. Depois vira commodidade. Depois e obrigacao. Voce escolhe em qual fase entra.",
13,A janela de vantagem competitiva esta fechando,3,body,Onde o setor de eventos esta agora,"Maioria ainda nao automatizou nada. Minoria ja tem sistemas rodando. A distancia entre os dois esta aumentando.",
13,A janela de vantagem competitiva esta fechando,4,body,O que fecha essa janela,"Quando todos tiverem IA, a vantagem some. O diferencial volta a ser preco, relacionamento e reputacao. So que voce vai partir de um patamar mais alto.",
13,A janela de vantagem competitiva esta fechando,5,cta,Entrar agora ainda e escolha. Em dois anos pode ser obrigacao.,A BKS Grow acelera essa entrada.,Link na bio
14,O que eu analiso depois de cada evento com IA,1,cover,Cada evento que passa gera um relatorio de inteligencia agora.,Nao so uma avaliacao.,
14,O que eu analiso depois de cada evento com IA,2,body,O que eu analisava antes,"Feedback do cliente. Se deu lucro. Se deu problema. Anotava no WhatsApp. Esquecia em 30 dias.",
14,O que eu analiso depois de cada evento com IA,3,body,O que eu analiso agora,"Perfil do cliente que gerou mais margem. Servicos que mais complicaram a operacao. Padrao de objecoes pre-fechamento.",
14,O que eu analiso depois de cada evento com IA,4,body,O que isso muda,"Proxima proposta ja vem calibrada. Proximo pitch ja antecipa as objecoes certas. Operacao ja evita o que costuma travar.",
14,O que eu analiso depois de cada evento com IA,5,cta,Evento sem analise e experiencia. Com analise e aprendizado que escala.,A BKS Grow transforma seus dados em decisao.,Link na bio
15,Por que a maioria das automacoes falha no setor de eventos,1,cover,Automatizou e nao funcionou? O problema nao e a IA.,,
15,Por que a maioria das automacoes falha no setor de eventos,2,body,Erro 1: automatizar processo quebrado,"Se o processo ja era confuso feito manualmente, automatizado ele fica confuso mais rapido. IA amplifica o que existe.",
15,Por que a maioria das automacoes falha no setor de eventos,3,body,Erro 2: comecar pela ferramenta,"Escolher o software antes de entender o fluxo. Resultado: ferramenta cara que ninguem usa do jeito certo.",
15,Por que a maioria das automacoes falha no setor de eventos,4,body,Erro 3: nao treinar a equipe,"A automacao roda. A equipe ignora. O cliente recebe resposta duplicada. Ninguem entende de onde veio.",
15,Por que a maioria das automacoes falha no setor de eventos,5,cta,Automacao que funciona comeca pelo diagnostico — nao pela ferramenta.,E isso que a BKS Grow faz primeiro.,Diagnostico gratuito — link na bio
